,profile_name,rating,rating_date,title,review_text
0,NIDHI SOMANI,5.0 out of 5 stars,Reviewed in India on 21 March 2025,"5.0 out of 5 stars
Stunning Pink – A Perfect Blend of Beauty & Performance
","
I recently purchased the iPhone 15 in Pink from Amazon, and I couldn’t be happier with my decision! From the moment I unboxed it, the sleek design and soft pastel pink color caught my attention—it looks even better in person than in pictures. Phone is lightweight aluminum and glass build, making the phone feel premium yet comfortable to hold. The pink shade is elegant and subtle, perfect for anyone who loves a touch of sophistication. The 6.1-inch Super Retina XDR display is bright, sharp, and offers vibrant colors. Whether watching videos or scrolling through social media, the experience is smooth and immersive. The 48MP main camera and 12MP ultra-wide lens take incredible photos, even in low light. The details, sharpness, and colors are truly impressive. Portrait mode works beautifully, capturing professional-looking shots effortlessly. The front camera is equally good for selfies and FaceTime. Charging with the USB-C port is much more convenient than before, and fast charging is a plus. The delivery was fast and secure, with the iPhone arriving in perfect condition. The packaging was intact, and setting up the phone was a breeze. If you're looking for a stylish, powerful, and reliable phone, the iPhone 15 in Pink is a fantastic choice.
"
1,HINDUSTAN ELECTRICALS,5.0 out of 5 stars,Reviewed in India on 6 October 2023,"5.0 out of 5 stars
iPhone 15 A solid upgrade and value for money
","
DesignOne of the most noticeable changes to the iPhone 15 is its new design. The phone now has rounded edges, which makes it feel more comfortable in the hand. It also has a new camera bump that is less pronounced than the one on the iPhone 14. DisplayThe iPhone 15 has the same 6.1-inch Super Retina XDR display as the iPhone 14. However, the new display is brighter and has better contrast. It also supports HDR10 and Dolby Vision.PerformanceThe iPhone 15 is powered by the new A16 Bionic chip, which is the fastest mobile chip on the market. The A16 Bionic chip is up to 20% faster than the A15 Bionic chip in the iPhone 14.CameraThe iPhone 15 has a new 48-megapixel main camera. The new camera sensor is larger than the one in the iPhone 14, and it has better low-light performance. The iPhone 15 also has a new 12-megapixel ultrawide camera and a new 12-megapixel telephoto camera.Battery lifeThe iPhone 15 has the same battery life as the iPhone 14. This means that you can expect to get around a day of use on a single charge.  Overall  The iPhone 15 is a solid upgrade over the iPhone 14.ProsNew design with rounded edgesMore powerful A16 Bionic chip found in 14 proNew 48-megapixel main cameraBrighter display with upto 2000 nits brightnessUSB C can be used for anythingDynamic IslandCons No 120hz display No Macro photography
"
2,Amazon Customer,5.0 out of 5 stars,Reviewed in India on 11 March 2025,"5.0 out of 5 stars
Superb mobile
","
Very good product... Performance is good, display quality superb totally I like very much...
"
3,Pradeep,4.0 out of 5 stars,Reviewed in India on 10 February 2025,"4.0 out of 5 stars
Camera
","
Good phoneBut camera is not good.
"
4,Obula Reddy Ankireddypalle,5.0 out of 5 stars,Reviewed in India on 26 March 2025,"5.0 out of 5 stars
Best Apple product for given price
","
Good one . Compact, high privacy and quality item.
"
5,Sandy Cariappa,5.0 out of 5 stars,Reviewed in India on 7 October 2023,"5.0 out of 5 stars
iPhone XR to iPhone 15
","
Just made the transition and here’s my POV on the first ~2 month of usePros- Battery Life is awesome, easily get about a day plus on this, so no Compliants- Screen fluidity is smooooooth! Understandable as I’m transitioning into an OLED from LCD in XR. The panel gets a solid peak brightness quotient so happy here- Screen brightness is good as compared to XR, 2200 nits, but I hardly go beyond 30% brightness to save some juice. Whilst outside I did crank it up and it’s spotless- Dynamic Island is fun, yet to use it to the fullest. Like the way it shows the ETA on delivery and Uber. Simple solution instead of you having to get into the app to check on the ETA- Weight, this phone is soo bloody light!! Understandable as XR was a brick, this is soo welcome- Camera is awesome, love the 48MP intervention, the portrait mode and cinematic mode does the job for me.- The Apple eco system, I enjoy seamless integration of my Watch, Mac, IPad Air and IPhone- Apples approach on Security!- Transferring data from my XR to 15 using the built in app is flawlessCons- The phone was over heating , there is a solution to this from Apple = back up the phone and then erase and reset the phone… including your eSIM settings.. once done set up the phone with the back up….. works like a charm- I still believe Apple should have thrown in a charging brick with such purchasesIndustry memes- USB C : honestly don’t give a jack for the reviews out there on this. It’s just a mode of charging for me and that’s it. I’m not going to be transferring any data so yea, 2.0 speed yadadada - thank you so much- Blue is not blue but white! Think people whining about this should go back to 13/14 or those ludicrous blues in Androids!! These are pestle shades people!!- Buying an Apple product to show off!! I mean, you even serious? You buy a product and then comment on why you should not buy one?- 60hz refresh rate for a 80k phone : save your jokes people, there are many of us who appreciate quality and security than how the screen refreshes. For non gamers like me, panel that is here is apt. I’ve seen a ton of folks buying 120hz phones and using it only to make calls, watch some videos and for textingTips of managing battery health- Switch off background app refresh for apps you don’t need back ground refresh- Avoid wireless charging as this heats your devise up- I charge my phone only using a power bank  not direct wired or wireless charging- Don’t let the battery go below 20%, keep it always between 95% and 20%- Switch off location services and allow only certain app that needs your location service- Switch on Charging Optimisation under the battery section- I don’t use vibrate mode for rings/incoming calls etc- My XR after 5 years of use has 86% battery health so I guess I know what I’m recommending aboveVendor Experience : Appario Retail Private Limited. 5/5, been a regular customer and they have never disappointed me even once. The purchase experience is breezy and quick, thanks team for the support and look forward to the collaboration in the future.….. watch out for this space. Will keep updating in case of significant change in experience
"
6,Ankush Jain,5.0 out of 5 stars,Reviewed in India on 9 March 2025,"5.0 out of 5 stars
Satishfied with product
","
Camera quality is awesome, smooth functioning, easy to use.... Over all very nice product.....I would like to suggest, must purchase this product
"
7,Arman patel,5.0 out of 5 stars,Reviewed in India on 15 March 2025,"5.0 out of 5 stars
Good product
","
Good product
"
8,Neeraj Nirantar,4.0 out of 5 stars,Reviewed in India on 16 March 2025,"4.0 out of 5 stars
volume  button issue
","
volume  button having problem.when we used first time while increasing volume it remains in pressed condition and not functioning.It seems to have defect from day one.We request to provide alternate fresh piece or get  it fixed  under  warranty without any additional cost.This is my second Iphone handset  purchased via  amazon platform.Kindly look into it  on top priroity
"
9,Syed siddiq,4.0 out of 5 stars,Reviewed in India on 18 January 2025,"4.0 out of 5 stars
iPhone 15 128 2024 dec manufacture
","
I bought for 52,499 rs with exchanging my oneoplus nord CE 2 5g phone the price of iPhone 15 when I purchase is 57’499 rs I got 5000 exchange value . I am writing this review after 4 days Camera : 5/4 Speaker : 5/5 battery : 5/4 build quality : 5/5 Performance: 5/4.5 . Charger bought for 1399rs with phone paid extra 240 rs for express delivery in Flipkart gadgets are free of cost express delivery also they do open box delivery but Amazon doesn’t have open box delivery change ur system .
"
10,Anup singh,4.0 out of 5 stars,Reviewed in India on 22 February 2025,"4.0 out of 5 stars
Sb mast
","
Excellent
"
11,Pritam s.,5.0 out of 5 stars,Reviewed in India on 27 March 2025,"5.0 out of 5 stars
Amazon u can trust
","
Genuine good
"
12,Vivek Kumar,5.0 out of 5 stars,Reviewed in India on 19 March 2025,"5.0 out of 5 stars
Very good
","
Very good
"
13,Surya,5.0 out of 5 stars,Reviewed in India on 18 March 2025,"5.0 out of 5 stars
Excellent
","
If your switching from iPhone 11 best option.The display is so good than iPhone 11👍🏻
"
14,Sandeep Shakya,4.0 out of 5 stars,Reviewed in India on 20 January 2025,"4.0 out of 5 stars
Best Iphone slimmest cover
","
You will not fill like your phone is wearing cover, work with wireless charging. When I remove it multiple times for cleaning border get removed which I restick.-
"
15,Rajesh shukla,5.0 out of 5 stars,Reviewed in India on 13 February 2025,"5.0 out of 5 stars
Dual e sim
","
Dual e sim is a good option. However, inspite of repeated efforts the banks (HDFC/SBI) have not recognised these sims yet and I am not able to transact online.But for the above, it’s a big thumbs up for the phone. It’s light & fast. I am told once the banks are connected, it’s very secure transacting online
"
16,shiv,3.0 out of 5 stars,Reviewed in India on 24 March 2025,"3.0 out of 5 stars
Review after uses
","
Its get heated after some use. I didn’t expect it after spending so much money.Other features like camera and battery backup is good.
"
17,Damanjeetsingh,5.0 out of 5 stars,Reviewed in India on 13 March 2025,"5.0 out of 5 stars
Good 👍
","
awesome
"
18,Shashikala,5.0 out of 5 stars,Reviewed in India on 4 March 2025,"5.0 out of 5 stars
The product is genuine
","
I must say wow..... Unbelievable I phone 15 I just love it thank you amazon
"
19,Prashant Kothari,4.0 out of 5 stars,Reviewed in India on 15 January 2025,"4.0 out of 5 stars
I phn
","
Next day delivery by Amazon ,looks good all over but camera is just okie.
"
20,Vimal Raj,5.0 out of 5 stars,Reviewed in India on 3 March 2025,"5.0 out of 5 stars
Really worth for it
","
Just name and brand is enough to explain.iPhone 15 really worth for money.
"
21,Dileep Rathore,5.0 out of 5 stars,Reviewed in India on 4 March 2025,"5.0 out of 5 stars
Nothing
","
Good product
"
22,Rajkumar oraon,5.0 out of 5 stars,Reviewed in India on 1 March 2025,"5.0 out of 5 stars
I give it very safefully.
","
Nice product
"
23,Somanath Sagai,4.0 out of 5 stars,Reviewed in India on 30 January 2025,"4.0 out of 5 stars
Fest Quality
","




                    The media could not be loaded.
                



Good Quality and future but some options disadvantage in android it's available but iOS not available 😑
"
24,kamni gupta,5.0 out of 5 stars,Reviewed in India on 20 February 2025,"5.0 out of 5 stars
Love it
","
Fantastic
"
25,Handley,5.0 out of 5 stars,Reviewed in India on 17 February 2025,"5.0 out of 5 stars
Great color and performance
","
Liked this color of the mobile and also the battery performance after using it for 4+months is still exceptional
"
26,Parkash Arora,5.0 out of 5 stars,Reviewed in India on 20 February 2025,"5.0 out of 5 stars
Amazing
","
Good
"
27,Kalpesh,5.0 out of 5 stars,Reviewed in India on 17 February 2025,"5.0 out of 5 stars
Best
","
As a iPhone user. Love the odd number mobile models
"
28,Lipun Parida,5.0 out of 5 stars,Reviewed in India on 19 February 2025,"5.0 out of 5 stars
Good
","
Good
"
29,Satish Sant,5.0 out of 5 stars,Reviewed in India on 21 February 2025,"5.0 out of 5 stars
Fantastic
","
Amazing phone
"
30,Manish,5.0 out of 5 stars,Reviewed in India on 15 February 2025,"5.0 out of 5 stars
Faith in amazone is increase.
","
Genuine product.
"
31,Telltale,4.0 out of 5 stars,Reviewed in India on 24 December 2024,"4.0 out of 5 stars
Disappointed with its overheating
","
This purchase seemed a sensible upgrade but it’s surprising and disappointing that it’s found to overheat while charging.  I’m using Apple chargers, always have.  This is not expected from an iPhone.  Found this is a common concern from the Net, too late now.
"
32,ramesh,5.0 out of 5 stars,Reviewed in India on 16 February 2025,"5.0 out of 5 stars
Great mobile.
","
Best mobile.
"
33,Ruthi Ngurnuntluangi,5.0 out of 5 stars,Reviewed in India on 19 March 2025,"5.0 out of 5 stars
The most trusted Amazon. Nice and original design and affordable
","




                    The media could not be loaded.
                


"
34,Akshata,5.0 out of 5 stars,Reviewed in India on 1 February 2025,"5.0 out of 5 stars
Very good phone
","
Got the phone within 4 days.. though delivery date was mentioned to be more than 10 days.
"
35,Sandeep,5.0 out of 5 stars,Reviewed in India on 12 February 2025,"5.0 out of 5 stars
Nice phone
","
Nice phone
"
36,Abhishek Sahoo,5.0 out of 5 stars,Reviewed in India on 16 January 2025,"5.0 out of 5 stars
Wow
","
I used 13 and 14 plus then i shifted to iPhone 15 rather than 16. I don’t like the look of 16 much , And i took the best decision.The look is great and the user experience is awesome. As Apple is the best when it comes to smartphone.
"
37,Pawan kumar,5.0 out of 5 stars,Reviewed in India on 9 February 2025,"5.0 out of 5 stars
good
","
nice
"
38,Komal,4.0 out of 5 stars,Reviewed in India on 16 January 2025,"4.0 out of 5 stars
Jusstttt awesome 👍🎀..
","




                    The media could not be loaded.
                


"
39,Nand kishor,5.0 out of 5 stars,Reviewed in India on 8 February 2025,"5.0 out of 5 stars
Nice
","
👍
"
40,Seema,5.0 out of 5 stars,Reviewed in India on 25 January 2025,"5.0 out of 5 stars
Amazinggggg💗
","
Earlier I was sceptical about the product but as I received it was brand new and in perfect condition. Everything about the phone is amazing and camera and sound is top notch ❤️
"
