,profile_name,rating,rating_date,title,review_text
41,Kuldeep Choudhary,5.0 out of 5 stars,Reviewed in India on 5 February 2025,"5.0 out of 5 stars
Nice product thanks for amazon
","
iPhone 15 Black Very Nice 👌👌Quality best
"
42,Akshith,5.0 out of 5 stars,Reviewed in India on 7 February 2025,"5.0 out of 5 stars
Sleek design
","
Just as good as always, better and improved. Especially this black colour looks dope
"
43,Prateek,5.0 out of 5 stars,Reviewed in India on 19 January 2025,"5.0 out of 5 stars
Iphone
","
It’s believed iPhone 15 is way everyone is looking,  people buy for enjoyment, but standard is something we wants, iPhones with standard person can win this
"
44,Madan m.,5.0 out of 5 stars,Reviewed in India on 1 February 2025,"5.0 out of 5 stars
Phone
","
Phone and display quality best
"
45,Badal Suresh Gaikwad,5.0 out of 5 stars,Reviewed in India on 27 January 2025,"5.0 out of 5 stars
Apple
","
Awesome product!
"
46,Kindle Customer,5.0 out of 5 stars,Reviewed in India on 5 February 2025,"5.0 out of 5 stars
Camera is best
","
Sexy phone.
"
47,Amazon Customer,5.0 out of 5 stars,Reviewed in India on 28 January 2025,"5.0 out of 5 stars
Bucket list item
","
Good phone, swift delivery, bought during Republic Day sale.
"
48,Sibi,3.0 out of 5 stars,Reviewed in India on 19 January 2025,"3.0 out of 5 stars
Except for type c port everything else remains nearly the same
","
Charges slow, battery life is less than ok, camera is fine but nothing great compared to phones in the price range.Was forced to buy higher storage variant as the base variant immediately went out of stock.
"
49,rishi k.,5.0 out of 5 stars,Reviewed in India on 3 February 2025,"5.0 out of 5 stars
Unbeatable IPhone
","
It’s an amazing product iphone 15 bought for my son his very first iPhone he is loving it ..super phone
"
50,Narender rawat,5.0 out of 5 stars,Reviewed in India on 24 January 2025,"5.0 out of 5 stars
phone is amazing
","
phone is amazing but plz go for plus size
"
51,samirsk,5.0 out of 5 stars,Reviewed in India on 4 February 2025,"5.0 out of 5 stars
Superb
","
Exllent experience  smooth and fast battery life very long
"
52,M S,5.0 out of 5 stars,Reviewed in India on 29 January 2025,"5.0 out of 5 stars
Good product
","
Good product
"
53,Suganya,5.0 out of 5 stars,Reviewed in India on 2 January 2025,"5.0 out of 5 stars
Iphone !! Just a wow !
","
I do not have words to express how I feel after using Iphone. It's outstanding with all the features inbuilt. I really admire the intelligence this phone has. How did I miss such a phone before.
"
54,GK,5.0 out of 5 stars,Reviewed in India on 28 January 2025,"5.0 out of 5 stars
iPhone 15
","
Very good product
"
55,Sarita singh,5.0 out of 5 stars,Reviewed in India on 6 February 2025,"5.0 out of 5 stars
Awesome…
","




                    The media could not be loaded.
                



Absolutely new… n m in love with my iphone… only problem is is eats a lot of battery…
"
56,Uttam Kumar,5.0 out of 5 stars,Reviewed in India on 24 January 2025,"5.0 out of 5 stars
Happy
","
All good
"
57,Sivani,5.0 out of 5 stars,Reviewed in India on 21 January 2025,"5.0 out of 5 stars
Light weight
","
Light weight and good battery performance . Overall good compared to previous model
"
58,G MALLIKARJUN,5.0 out of 5 stars,Reviewed in India on 14 January 2025,"5.0 out of 5 stars
Nice
","
I purchased it in Republic Day sale for 55.5 k.Value for money and Amazon delivery is awesome
"
59,Vadiraj Katti,5.0 out of 5 stars,Reviewed in India on 19 January 2025,"5.0 out of 5 stars
Great choice
","
Excellent phone. Value for money.
"
60,Baljeet Singh,5.0 out of 5 stars,Reviewed in India on 17 January 2025,"5.0 out of 5 stars
Maza aa gya 👍👍👍
","
Best performance best smoothness best screen size
"
61,Sahil Dwivedi,5.0 out of 5 stars,Reviewed in India on 22 January 2025,"5.0 out of 5 stars
Perfect phone
","
As expected the phones good
"
62,Placeholder,5.0 out of 5 stars,Reviewed in India on 4 February 2025,"5.0 out of 5 stars
Good
","
Good
"
63,Abhik,5.0 out of 5 stars,Reviewed in India on 24 January 2025,"5.0 out of 5 stars
All good
","
All good
"
64,abdhesh singh,5.0 out of 5 stars,Reviewed in India on 17 January 2025,"5.0 out of 5 stars
Nice phone
","
Nice phone
"
65,Manu Aditya Gaur,5.0 out of 5 stars,Reviewed in India on 21 January 2025,"5.0 out of 5 stars
Packing is good
","
Good product
"
66,Placeholder,5.0 out of 5 stars,Reviewed in India on 22 January 2025,"5.0 out of 5 stars
Excellent Product
","
Very user friendly. Highly innovative product.
"
67,Alfin Jacob,5.0 out of 5 stars,Reviewed in India on 25 January 2025,"5.0 out of 5 stars
❤️‍🔥
","
Good phone very smooth and camera quality superb🩵
"
68,anil mahajan,4.0 out of 5 stars,Reviewed in India on 10 December 2024,"4.0 out of 5 stars
Apple product always good
","
Apple product at best price
"
69,Amazon Customer,4.0 out of 5 stars,Reviewed in India on 10 November 2024,"4.0 out of 5 stars
Good
","
very Good Product,but Amazon service very pathetic.
"
70,Samir. Ahmad,5.0 out of 5 stars,Reviewed in India on 23 January 2025,"5.0 out of 5 stars
Value for money 😍
","
It is very best ,I am happy 😊 Thanks amazon
"
71,rajesh,5.0 out of 5 stars,Reviewed in India on 17 January 2025,"5.0 out of 5 stars
Super
","
Excellent
"
72,Sananda,5.0 out of 5 stars,Reviewed in India on 22 January 2025,"5.0 out of 5 stars
In love with the colour
","
What a great colour , what great features loving it!
"
73,anshu kumar,5.0 out of 5 stars,Reviewed in India on 27 January 2025,"5.0 out of 5 stars
Awesome product... Value for Money
",
74,subhadip manna,4.0 out of 5 stars,Reviewed in India on 12 October 2023,"4.0 out of 5 stars
It's about the great iPhone 15
","
Everyone know about pros , let's only talk about consBattery : worst than I expect . Many says it is iOS 17 behind poor battery life . Hardly 3-4 he if you travelling and your network changes frequently .. worst than my android devices .Performance : no doubt in performance , it's the best in the industry ,Camera : undoubtably very good in camera dipartment but I hardly take photos 😁iOS : verry smooth and many good things are missing . Call recording , call pick up haptic , smart dial and many more little but verry important feature ..Many youtuber says there is no such use of dynamic island but listen to me it is verry usefull and looking cool tooPrice : obviously it's not value for money but it's far better than 13 and 14 launch price which is same . Although this time iPhone 15 far better than 15 pro
"
75,Munish Sharma,5.0 out of 5 stars,Reviewed in India on 28 January 2025,"5.0 out of 5 stars
Value for money at 54k
","
Good and improved device with latest features sound quality is awesome
"
76,Samantha,5.0 out of 5 stars,Reviewed in India on 11 January 2025,"5.0 out of 5 stars
The Iphone received is just superb
","
The pink iphone 15 has very classic baby pink shade. The phone received is in perfect condition and is working well.Love the phone
"
77,SUDHAKAR,5.0 out of 5 stars,Reviewed in India on 17 December 2024,"5.0 out of 5 stars
Excellent Packing
","
The Seller and Amazon fulfilled their promise from packing to the hassle free exchange. The delivery agent opened the package and seal in front of me. I am completely satisfied with the product and it is working awesome. Though it is 15 series while everyone has 16 pro or max, I still feel it a premium piece in my hand.
"
78,Very nice phone,5.0 out of 5 stars,Reviewed in India on 14 January 2025,"5.0 out of 5 stars
Good product
","
Very nice product
"
79,HS,4.0 out of 5 stars,Reviewed in India on 28 October 2024,"4.0 out of 5 stars
Very good product.
","
Very good product. I liked it very much. It's worth buying. I am satisfied with this product.
"
80,Ajay Kumar,5.0 out of 5 stars,Reviewed in India on 15 January 2025,"5.0 out of 5 stars
Awesome product..value for money.
","
Awesome stuff at a very affordable rate. Looks are amazing, functions superlative and feel to hold it is, smooooth...GO for it- product.
"
81,Abrna Prabakaran,5.0 out of 5 stars,Reviewed in India on 1 January 2025,"5.0 out of 5 stars
Best
","
Best buy for price
"
82,Sunny saket,5.0 out of 5 stars,Reviewed in India on 30 December 2024,"5.0 out of 5 stars
Value for money
","
Value for money durability and quality
"
83,raju karakavalasa,5.0 out of 5 stars,Reviewed in India on 29 December 2024,"5.0 out of 5 stars
Excellent
","
Value for money for any purpose especially for gamers
"
84,Divyansh,5.0 out of 5 stars,Reviewed in India on 2 January 2025,"5.0 out of 5 stars
📱🤳
","
Nice🍎
"
85,Mohammed Ajaas,4.0 out of 5 stars,Reviewed in India on 12 July 2024,"4.0 out of 5 stars
No big changes. Disappointed
","
Not that good. Phone is handy and for me I doesn’t make sense as iPhone X and 15 looks similar and refresh rate too poor. They charged more but big theifs even their competitors are eager to fetch money from customers but not ready to give worth the money. Customers need to slowly have to reject these brands and btw last 14 years using Apple products but it is worst in the sense not much up gradation. iPhone 15 pro max even pathetic
"
86,Rohan narvekar,5.0 out of 5 stars,Reviewed in India on 24 July 2024,"5.0 out of 5 stars
Iphone from Apple as usual top in quality and experiance.
","
First of it looks very very prime quality and nicely fit in your hands. I am an android user still I don't face issue at the time of operating. In India you have to download required apps from app store free of cost. Apple store not available in India. You can use two sim , one physical micro sim and other esim. Conversion of physical micro sim to esim is very easy and happen in just two hours from your home. But after conversion sms service restricted for 24 hours as per guidelines if TRAI. No issue of connectivity if you have good network strength of your desired operator. Very crispy screen gives no strain on your eyes. Battery life is awesome , 1 one day for heavy user and 2 days for light user. Smooth performance of IOS system, no lags ,no glitches , not a single problem when you get to use. Sound is also very big but very crystal clear. Value is on high side,  so though it is very good in all aspects,  many people may find it very difficult to purchase .
"
87,Praveen Ranjan,4.0 out of 5 stars,Reviewed in India on 23 September 2024,"4.0 out of 5 stars
Reliable Phone
","
Good Portrait modeBest videoJust ok in other camera aspectsGood BatteryGood PerformanceLittle Network issue
"
88,Ajay Kr Chaturvedi,5.0 out of 5 stars,Reviewed in India on 3 December 2023,"5.0 out of 5 stars
The BEST iPhone EVERRRRRRR! : iPhone 15 review after 2 weeks of continuous use
","
The display is impressively bright, despite the 60 Hz, which I thought might be a drawback coming from a 120 Hz Android device. Surprisingly, it feels the same. The battery life is solid, providing around 1.5 days for mild phone users. As a developer, with light usage for content consumption and social media, I get around 8 hours of screen on time with 25-30% battery left. It charges quickly to 50% and then trickle charges to 100%, adapting to usage patterns for faster charging. Initially, there were some battery drain and heating issues, but they resolved as the phone learned my usage patterns.Now, the camera is impressive, especially in low light conditions. Despite lacking a dedicated long exposure mode, the default night option, averaging around 3 seconds, captures details even in the dark. Compared to the iPhone 14 and S21FE, the camera quality is top-notch. The auto portrait detection is a standout feature. Believe me no one explain the real use of that auto portrait theoretically until you try it.In terms of network, the dual 5G standby supports Vi and JIO 5G (eSim). Inside my house, I get around 500 Mbps, and outside easily surpass 1 Gbps. Call quality is excellent, with two introduced modes in the mic option available in the control center.This is my personal opinion; I'll update if I find anything noteworthy.
"
89,Pravin B,5.0 out of 5 stars,Reviewed in India on 11 January 2025,"5.0 out of 5 stars
Excellent.
","
Fast Charging.It is very smooth.sound is boost.Its perfomance is excellent.its functions are pour.
"
90,Ankit Mehta,5.0 out of 5 stars,Reviewed in India on 22 January 2025,"5.0 out of 5 stars
Price range, decent📱
","
So lightweight. battery life is good .better sound quality.  with dynamic island .Charging speed fast.
"
91,Sumit Joshi,5.0 out of 5 stars,Reviewed in India on 26 November 2024,"5.0 out of 5 stars
Trusted Delivery From Amazon
","
As expected delivered the product safely and no fraud done like Flipkart. The product is working great with awesome video recording and smooth software experience
"
92,frenu,4.0 out of 5 stars,Reviewed in India on 12 October 2024,"4.0 out of 5 stars
Good
","
Good product
"
93,SANDEEP SINGH,5.0 out of 5 stars,Reviewed in India on 22 December 2024,"5.0 out of 5 stars
I phone 15
","
Nice phone
"
94,Raj,5.0 out of 5 stars,Reviewed in India on 21 December 2024,"5.0 out of 5 stars
Love it
","
Recommended
"
95,Kishor Gaikwad,5.0 out of 5 stars,Reviewed in India on 4 November 2024,"5.0 out of 5 stars
Must buy mobile...
","
Not required to give review, the brand name apple suggest it all, from last 2 months my wife is using it. Though it is coslty, but this cost is woth it. So go and buy...
"
96,Raghu Raman r,5.0 out of 5 stars,Reviewed in India on 17 December 2024,"5.0 out of 5 stars
Super
","
No words to tell great 😃
"
97,Bora Bhai,3.0 out of 5 stars,Reviewed in India on 8 December 2024,"3.0 out of 5 stars
Good phone but bad exchange policy
","
Phone is absolutely beautiful but the exchange policy is too bad... Their Rabbit app is fraud.
"
98,Avdhesh,3.0 out of 5 stars,Reviewed in India on 18 December 2024,"3.0 out of 5 stars
Price
","
Mehenga hai
"
99,Vishal Mathur,4.0 out of 5 stars,Reviewed in India on 22 August 2024,"4.0 out of 5 stars
Good product but costly
","
Apple iPhone quite costly but quite good interface and operations systemIf you have no issue with spending money this is product you can buy.
"
